Host,Контур,ПО,Версия
mdm30-kri-links-rmq002p,prod_dc15,Keepalived,v1.3.5
mdm30-kri-links-rmq002p,prod_dc15,RabbitMQ,3.8.3
mdm30-kri-links-rmq003p,prod_dc15,Keepalived,v1.3.5
mdm30-kri-links-rmq003p,prod_dc15,RabbitMQ,3.8.3
mdm30-kri-main-app001p,prod_dc15,ETCD,3.4.13
mdm30-kri-main-app001p,prod_dc15,Redis,7.0.5
mdm30-kri-main-app002p,prod_dc15,ETCD,3.4.13
mdm30-kri-main-app002p,prod_dc15,Redis,7.0.5
mdm30-kri-main-app003p,prod_dc15,ETCD,3.4.13
mdm30-kri-main-app003p,prod_dc15,Redis,7.0.5
mdm30-kri-main-app01p,prod,Docker,28.3.3-ce
mdm30-kri-main-app01s,stage,Docker,28.2.2-ce
mdm30-kri-main-app02p,prod,Docker,28.3.3-ce
mdm30-kri-main-app02s,stage,Docker,28.2.2-ce
mdm30-kri-main-app03p,prod,Docker,28.3.3-ce
mdm30-kri-main-app03s,stage,Docker,28.2.2-ce
mdm30-kri-main-db01s,stage,PostgreSQL,18.2.0
mdm30-kri-main-lb001p,prod_dc15,Keepalived,v1.3.5
mdm30-kri-main-lb001p,prod_dc15,Nginx,1.27.1.2
mdm30-kri-main-lb002p,prod_dc15,Keepalived,v1.3.5
mdm30-kri-main-lb002p,prod_dc15,Nginx,1.27.1.2
mdm30-kri-main-pg001p,prod_dc15,Keepalived,v1.3.5
mdm30-kri-main-pg001p,prod_dc15,PostgreSQL,11.22.0
mdm30-kri-main-pg002p,prod_dc15,Keepalived,v1.3.5
mdm30-kri-pg21p,prod,Keepalived,v1.3.5
mdm30-kri-pg21p,prod,PostgreSQL,11.18.0
mdm30-kri-pg21s,stage,Keepalived,v1.3.5
mdm30-kri-pg22p,prod,Keepalived,v1.3.5
mdm30-kri-pg22p,prod,PostgreSQL,11.20.0
mdm30-kri-rmq21p,prod,Keepalived,v1.3.5
mdm30-kri-rmq21s,stage,Keepalived,v1.3.5
mdm30-kri-rmq22p,prod,Keepalived,v1.3.5
mdm30-ksrd-a-lock01p,prod,PostgreSQL,13.11.0
mdm30-ksrd-a-lock01t,stage,PostgreSQL,13.11.0
mdm30-ksrd-dep-app001p,prod_dc15,Tomcat,9.0.71
mdm30-ksrd-etl-nf001p,prod_dc15,Nifi,1.24.0
mdm30-ksrd-etl-nf002p,prod_dc15,Nifi,1.24.0
mdm30-ksrd-etl-nf003p,prod_dc15,Nifi,1.24.0
mdm30-ksrd-etl-nf01p,prod_dc15,Nifi,2.5.0
mdm30-ksrd-etl-nf01s,stage,Nifi,2.5.0
mdm30-ksrd-etl-nf02p,prod_dc15,Nifi,2.5.0
mdm30-ksrd-etl-nf02s,stage,Nifi,2.5.0
mdm30-ksrd-etl-nf03p,prod_dc15,Nifi,2.5.0
mdm30-ksrd-etl-nf03s,stage,Nifi,2.5.0
mdm30-ksrd-etl-zk001p,prod_dc15,Zk,3.9.1
mdm30-ksrd-etl-zk002p,prod_dc15,Zk,3.9.1
mdm30-ksrd-etl-zk003p,prod_dc15,Zk,3.9.1
mdm30-ksrd-etl-zk01p,prod_dc15,Zk,3.9.4
mdm30-ksrd-etl-zk01s,stage,Zk,3.9.4
mdm30-ksrd-etl-zk02p,prod_dc15,Zk,3.9.4
mdm30-ksrd-etl-zk02s,stage,Zk,3.9.4
mdm30-ksrd-etl-zk03p,prod_dc15,Zk,3.9.4
mdm30-ksrd-etl-zk03s,stage,Zk,3.9.4
mdm30-ksrd-mok-nf001p,prod_dc15,Nifi,1.24.0
mdm30-ksrd-mok-nf002p,prod_dc15,Nifi,1.24.0
mdm30-ksrd-mok-nf003p,prod_dc15,Nifi,1.24.0
mdm30-ksrd-mok-nf01p,prod_dc15,Nifi,2.5.0
mdm30-ksrd-mok-nf01s,stage,Nifi,2.5.0
mdm30-ksrd-mok-nf01s,stage,Zk,3.9.4
mdm30-ksrd-mok-nf02p,prod_dc15,Nifi,2.5.0
mdm30-ksrd-mok-nf02s,stage,Nifi,2.5.0
mdm30-ksrd-mok-nf02s,stage,Zk,3.9.4
mdm30-ksrd-mok-nf03p,prod_dc15,Nifi,2.5.0
mdm30-ksrd-mok-nf03s,stage,Nifi,2.5.0
mdm30-ksrd-mok-nf03s,stage,Zk,3.9.4
mdm30-ksrd-mok-zk001p,prod_dc15,Zk,3.9.1
mdm30-ksrd-mok-zk002p,prod_dc15,Zk,3.9.1
mdm30-ksrd-mok-zk003p,prod_dc15,Zk,3.9.1
mdm30-ksrd-mok-zk01p,prod_dc15,Zk,3.9.4
mdm30-ksrd-mok-zk01s,stage,Zk,3.9.4
mdm30-ksrd-mok-zk02p,prod_dc15,Zk,3.9.4
mdm30-ksrd-mok-zk02s,stage,Zk,3.9.4
mdm30-ksrd-mok-zk03p,prod_dc15,Zk,3.9.4
mdm30-ksrd-mok-zk03s,stage,Zk,3.9.4
mdm30-ksrd-ud-app001p,prod_dc15,Tomcat,9.0.111
mdm30-ksrd-ud-app002p,prod_dc15,Tomcat,9.0.111
mdm30-ksrd-ud-app003p,prod_dc15,Tomcat,9.0.111
mdm30-ksrd-ud-app004p,prod_dc15,Tomcat,9.0.111
mdm30-ksrd-ud-app005p,prod_dc15,Tomcat,9.0.111
mdm30-ksrd-ud-app006p,prod_dc15,Tomcat,9.0.111
mdm30-ksrd-ud-lb001p,prod_dc15,Keepalived,v2.2.8
mdm30-ksrd-ud-lb001p,prod_dc15,Nginx,1.27.1.2
mdm30-ksrd-ud-lb002p,prod_dc15,Keepalived,v2.2.8
mdm30-ksrd-ud-lb002p,prod_dc15,Nginx,1.27.1.2
mdm30-ksrd-ud-lb01s,stage,Nginx,1.27.1.2
mdm30-ksrd-ud-lb02s,stage,Nginx,1.27.1.2
mdm30-ksrd-ud-os002p,prod_dc15,Docker,29.2.1-ce
mdm30-ksrd-ud-os007p,prod_dc15,Opensearch,2.7.0
mdm30-ksrd-ud-os009p,prod_dc15,Opensearch,2.7.0
mdm30-ksrd-ud-os010p,prod_dc15,Opensearch,2.7.0
mdm30-ksrd-ud-os011p,prod_dc15,Opensearch,2.14.0
mdm30-ksrd-ud-os012p,prod_dc15,Opensearch,2.14.0
mdm30-ksrd-ud-os013p,prod_dc15,Opensearch,2.14.0
mdm30-ksrd-ud-os014p,prod_dc15,Opensearch,2.14.0
mdm30-ksrd-ud-os015p,prod_dc15,Opensearch,2.14.0
mdm30-ksrd-ud-os016p,prod_dc15,Opensearch,2.14.0
mdm30-ksrd-ud-os017p,prod_dc15,Opensearch,2.14.0
mdm30-ksrd-ud-pg001p,prod_dc15,Keepalived,v2.2.8
mdm30-ksrd-ud-pg001p,prod_dc15,PostgreSQL,16.8.0
mdm30-ksrd-ud-pg002p,prod_dc15,Keepalived,v2.2.8
mdm30-ksrd-ud-pghist01p,prod_dc15,PostgreSQL,16.8.0
mdm30-ksrd-ud-pghist01s,stage,PostgreSQL,16.8.0
mdm30-ksrd-ud5-pg01p,prod_dc15,PostgreSQL,16.8.0
mdm30-ksrd-ud6-mongo-01p,prod_dc15,Mongodb,7.0.21
mdm30-ksrd-ud6-mongo-01s,stage,Mongodb,7.0.21
mdm30-kzd-a-gw-ern01p,prod,Consul,v1.8.4
mdm30-kzd-a-gw-ern01p,prod,Docker,19.03.12
mdm30-kzd-a-gw-kkd01p,prod,Consul,v1.8.4
mdm30-kzd-a-gw-kkd01p,prod,Docker,19.03.12
mdm30-log01t,stage,Consul,v1.8.4
mdm30-log01t,stage,Elasticsearch,7.16.2
mdm30-log01t,stage,Kibana,7.16.2
mdm30-log01t,stage,Logstash,7.16.2
mdm30-pdp-es03p,prod,Elasticsearch,6.8.22
mdm30-pdp-hist-chk01p,prod,Clickhouse_keeper,24.12.1.1614
mdm30-pdp-hist-chk01s,stage,Clickhouse_keeper,24.12.1.1614
mdm30-pdp-hist-chk02p,prod,Clickhouse_keeper,24.12.1.1614
mdm30-pdp-hist-chk02s,stage,Clickhouse_keeper,24.12.1.1614
